dataset,n_bins,mean_acc,std_acc
madelon,5,72.31538461538462,2.7694871676174326
madelon,10,76.26153846153846,2.588710126364709
madelon,15,77.13076923076923,3.5018676335745362
madelon,20,73.92307692307692,3.0108285831970654
madelon,25,73.85384615384615,3.393554628667627
Prostate_GE,5,92.0,5.340131721476641
Prostate_GE,10,92.38095238095238,5.039526306789696
Prostate_GE,15,91.42857142857143,5.870870479018074
Prostate_GE,20,92.19047619047616,5.195497789327944
Prostate_GE,25,92.19047619047616,5.367239163278236
ALLAML,5,96.53333333333332,5.031456603763521
ALLAML,10,96.53333333333332,5.694441734416699
ALLAML,15,96.0,5.962847939999438
ALLAML,20,95.46666666666665,5.878775382679627
ALLAML,25,94.40000000000002,6.1622506710887155
Crohns,5,78.71428571428572,7.7248604769118705
Crohns,10,79.0,8.164132606988312
Crohns,15,78.85714285714286,8.973885014022521
Crohns,20,78.71428571428572,7.524110904150679
Crohns,25,78.57142857142857,7.693092581620719
Ebola,5,89.12,4.311101947298394
Ebola,10,90.32,2.378570999570961
Ebola,15,89.28,2.6460536653665963
Ebola,20,89.76,3.215960198758685
Ebola,25,89.68,3.0818176454813155
